Upwind;sol exacte
2.6724e-07;1.48672e-06
1.96284e-06;2.43896e-06
3.20013e-06;3.9613e-06
5.16556e-06;6.36983e-06
8.25534e-06;1.01409e-05
1.30623e-05;1.59837e-05
2.04631e-05;2.49425e-05
3.17388e-05;3.85352e-05
4.87391e-05;5.89431e-05
7.41024e-05;8.92617e-05
0.000111546;0.00013383
0.000166243;0.000198655
0.000245301;0.000291947
0.000358364;0.000424781
0.000518341;0.000611902
0.000742292;0.000872683
0.00105245;0.00123222
0.00147739;0.00172257
0.00205333;0.00238409
0.00282545;0.00326682
0.00384933;0.00443185
0.00519219;0.00595254
0.00693399;0.00791545
0.00916819;0.0104209
0.012002;0.013583
0.0155556;0.0175283
0.0199614;0.0223945
0.0253608;0.028327
0.0319008;0.0354746
0.0397291;0.0439836
0.0489873;0.053991
0.0598034;0.0656158
0.072283;0.0789502
0.0864996;0.0940491
0.102485;0.110921
0.120219;0.129518
0.139623;0.149727
0.160548;0.171369
0.182777;0.194186
0.206019;0.217852
0.229911;0.241971
0.254028;0.266085
0.277888;0.289692
0.300973;0.312254
0.322739;0.333225
0.342645;0.352065
0.360168;0.36827
0.374829;0.381388
0.386215;0.391043
0.393998;0.396953
0.397947;0.398942
0.397947;0.396953
0.393998;0.391043
0.386215;0.381388
0.374829;0.36827
0.360168;0.352065
0.342645;0.333225
0.322739;0.312254
0.300973;0.289692
0.277888;0.266085
0.254028;0.241971
0.229911;0.217852
0.206019;0.194186
0.182777;0.171369
0.160548;0.149727
0.139623;0.129518
0.120219;0.110921
0.102485;0.094049
0.0864996;0.0789501
0.072283;0.0656158
0.0598034;0.053991
0.0489873;0.0439836
0.0397291;0.0354746
0.0319008;0.028327
0.0253608;0.0223945
0.0199614;0.0175283
0.0155556;0.013583
0.012002;0.0104209
0.00916819;0.00791545
0.00693399;0.00595253
0.00519219;0.00443185
0.00384933;0.00326682
0.00282545;0.00238409
0.00205333;0.00172257
0.00147739;0.00123222
0.00105245;0.000872683
0.000742292;0.000611901
0.000518341;0.000424781
0.000358364;0.000291947
0.000245301;0.000198655
0.000166243;0.00013383
0.000111546;8.92615e-05
7.41023e-05;5.89431e-05
4.87391e-05;3.85352e-05
3.17388e-05;2.49424e-05
2.04631e-05;1.59837e-05
1.30623e-05;1.01408e-05
8.25533e-06;6.36983e-06
5.16556e-06;3.9613e-06
3.20012e-06;2.43895e-06
1.96284e-06;1.48672e-06
