Upwind;Solexacte
-2.00656e-08;1.10158e-08
-1.47379e-07;1.97732e-08
-1.27308e-07;3.51395e-08
2.01896e-08;6.18261e-08
1.48669e-07;1.07698e-07
1.35926e-07;1.85736e-07
2.14621e-08;3.17135e-07
7.1331e-09;5.36103e-07
3.36025e-07;8.97242e-07
1.17744e-06;1.48672e-06
2.62545e-06;2.43896e-06
4.80473e-06;3.9613e-06
7.9987e-06;6.36982e-06
1.27364e-05;1.01409e-05
1.98469e-05;1.59837e-05
3.05309e-05;2.49425e-05
4.64859e-05;3.85352e-05
7.0097e-05;5.8943e-05
0.000104693;8.92617e-05
0.000154876;0.00013383
0.000226933;0.000198655
0.000329351;0.000291947
0.000473444;0.00042478
0.000674103;0.000611902
0.000950677;0.000872683
0.00132797;0.00123222
0.00183736;0.00172257
0.00251796;0.00238409
0.00341785;0.00326682
0.00459524;0.00443185
0.00611947;0.00595253
0.00807179;0.00791545
0.0105457;0.0104209
0.0136469;0.013583
0.0174922;0.0175283
0.0222078;0.0223945
0.0279267;0.028327
0.0347844;0.0354746
0.0429143;0.0439836
0.0524412;0.053991
0.0634739;0.0656158
0.0760975;0.0789501
0.0903647;0.0940491
0.106287;0.110921
0.123827;0.129518
0.142891;0.149727
0.163322;0.171369
0.184902;0.194186
0.207343;0.217852
0.2303;0.241971
0.253367;0.266085
0.276097;0.289692
0.298007;0.312254
0.3186;0.333225
0.33738;0.352065
0.353873;0.36827
0.367646;0.381388
0.378326;0.391043
0.385618;0.396953
0.389317;0.398942
0.389317;0.396953
0.385618;0.391043
0.378326;0.381388
0.367646;0.36827
0.353873;0.352065
0.33738;0.333225
0.3186;0.312254
0.298007;0.289692
0.276097;0.266085
0.253367;0.241971
0.230299;0.217852
0.207343;0.194186
0.184902;0.171369
0.163322;0.149727
0.142891;0.129518
0.123827;0.110921
0.106287;0.0940491
0.0903647;0.0789501
0.0760975;0.0656158
0.0634739;0.053991
0.0524412;0.0439836
0.0429143;0.0354746
0.0347844;0.0283271
0.0279267;0.0223945
0.0222078;0.0175283
0.0174922;0.013583
0.0136469;0.0104209
0.0105457;0.00791546
0.00807179;0.00595253
0.00611947;0.00443185
0.00459524;0.00326682
0.00341785;0.00238409
0.00251796;0.00172257
0.00183736;0.00123222
0.00132797;0.000872683
0.000950677;0.000611903
0.000674103;0.000424781
0.000473444;0.000291948
0.000329351;0.000198656
0.000226933;0.00013383
0.000154876;8.92619e-05
